,Island_Name,Acreage,Country,latitude,longitude,Large Acreage,Ocean Island,Income Potential,Mainland Power,Islands with Beaches,Turn Key,Airstrip or Fly-in,Income Producing,Lake Island,Seasonal,Historic,River Island,Mainland Lot,nearest_city,city_distance,price,predicted
39,Saddleback Cay,47,Bahamas,24.654108960511998,-76.810913085938,1,1,1,0,1,0,0,0,0,0,0,0,0,Nassau,43.5,11800000.0,no
40,Pepin Island,1280,New Zealand,-41.150710499999995,173.42646519999997,1,1,1,0,1,1,0,0,0,0,0,0,0,Nelson,11.12,11467068.01,no
41,The Duke Group Archipelago,3300,Australia,-21.983476,150.16093999999995,1,1,1,0,1,1,1,0,0,0,0,0,0,Sarina,72.07,11379153.39,no
42,Spalathronisi Island,26,Greece,40.020836439853,23.807564664063,1,1,0,0,1,0,0,0,0,0,0,0,0,Néos Marmarás,5.36,11155734.05,no
43,Nakacha Huraa Lagoon,29,Maldives,4.3442396845888,73.390642771936,1,1,0,0,1,0,0,0,0,0,0,0,0,Hulhumale,13.78,11000000.0,no
44,Isla Puerco,160,Panama,8.3674816117751,-78.807892735474,1,1,0,0,1,0,0,0,0,0,0,0,0,San Miguel,10.77,11000000.0,no
45,Batchawana Island,5200,Canada,46.892542575833,-84.518707020508,1,0,0,0,0,0,0,0,1,0,0,0,0,Sault Ste. Marie,27.41,10972379.87,no
46,Kuramaadhoo Island,44,Maldives,5.873270622952501,73.143555492065,1,1,1,0,1,0,0,0,0,0,0,0,0,Ugoofaaru,16.18,10765283.36,no
47,Keraamithaa Island,103,Maldives,0.390701,73.012837,1,1,0,0,0,0,0,0,0,0,0,0,0,Thinadhoo,9.71,10765283.36,no
48,Deer Cay,603,Belize,18.098019096371,-87.95653867876,1,1,0,0,0,0,0,0,0,0,0,0,0,San Pedro,12.59,10500000.0,no
49,Thompson Island,5,United States of America,24.564164771563,-81.74923418437801,0,1,1,0,0,1,0,0,0,0,0,0,0,Stock Island,0.71,10495000.0,no
50,Tavernier Key,31,United States of America,24.997050346648003,-80.502186196729,1,1,0,0,0,0,0,0,0,0,0,0,0,Tavernier,1.28,10149000.0,no
51,Toad Hall Estate,6,United Kingdom,18.430332699999997,-64.4435806,0,0,0,0,0,1,0,1,0,0,0,0,0,Saint Paul’s,127.21,10000000.0,no
52,Belle Island & Cubbage Island,264,United States of America,31.76382999047,-81.22067805659199,1,0,0,0,0,0,0,0,0,0,1,1,0,Midway,12.67,10000000.0,no
53,Young Island Resort,13,SVG,13.13102202381,-61.202609669998,0,1,0,0,1,1,0,1,0,0,0,0,0,Kingstown,2.37,10000000.0,no
54,Water Caye,567,Belize,17.384237,-88.064037,1,1,0,0,0,0,0,0,0,0,0,0,0,Belize City,11.87,10000000.0,no
55,Lataro Island,719,Vanuatu,-15.265039999999999,167.191537,1,1,1,0,1,1,1,1,0,0,0,0,1,Port-Olry,17.35,9995000.0,no
56,Great Sale Cay,370,Bahamas,26.996629600000002,-78.21058570000002,1,1,1,0,1,0,0,0,0,0,0,0,0,High Rock,27.04,9900000.0,no
57,Lumber Cay,30,Bahamas,24.161774994724002,-76.430015586694,1,1,0,0,1,0,0,0,0,0,0,0,0,Arthur’s Town,57.37,9400000.0,no
58,Jim Cay,8,Bahamas,23.883476164965,-76.25602703223298,0,1,0,0,1,0,0,0,0,0,0,0,0,George Town,39.06,9000000.0,no
59,Sandy Island,20,Grenada,12.2220101,-61.5858804,0,0,0,0,0,0,0,0,0,0,0,0,0,Sauteurs,3.61,9000000.0,no
60,Isla Di Yerba,8,Curacao,12.079673590662,-68.845199630566,0,1,0,0,0,0,0,0,0,0,0,0,1,Puerto Cumarebo,53.5,8800000.0,no
61,Trump Island,29,United States of America,48.5044389,-122.8386889,1,0,1,0,0,1,0,0,1,0,0,0,0,Friday Harbor,8.42,8750000.0,no
62,Leaf Cay,30,Bahamas,23.7861,-76.1271,0,1,1,0,1,0,0,0,0,0,0,0,0,George Town,28.5,8500000.0,no
63,Roberts Cay,20,Bahamas,24.796630248371,-76.831727423279,0,1,1,0,1,0,0,0,0,0,0,0,0,Nassau,36.79,8000000.0,no
64,Sipson Island,25,United States of America,41.736553716213,-69.963220453967,1,1,1,0,1,1,0,0,0,0,1,0,1,Chatham,3.77,7985000.0,no
65,Devils Cay,117,Bahamas,25.600664000000002,-77.728615,1,1,1,0,1,0,0,0,0,0,0,0,0,San Andros,42.0,7950000.0,no
66,Katitche Point Greathouse,1,United Kingdom,18.47188,-64.414659289,0,0,0,0,0,1,0,1,0,0,0,0,0,Saint Paul’s,127.27,7950000.0,no
67,Powell Cay,294,Bahamas,26.908188800000005,-77.4773674,1,1,1,0,1,0,0,0,0,0,0,0,0,Cooper’s Town,3.29,7895000.0,no
68,Woodmere Island,5,Canada,45.143840999999995,-79.583031,0,0,1,1,0,1,0,0,1,1,0,0,0,Bracebridge,15.08,7895000.0,no
69,Kaashihulhudhoo Island,38,Maldives,0.48814383502309,72.994624296728,1,1,0,0,1,0,0,0,0,0,0,0,0,Thinadhoo,2.95,7809013.83,no
70,Horse Island,157,Ireland,51.51630460000001,-9.4680023,1,1,1,0,1,1,1,0,0,0,0,0,0,Skibbereen,8.96,7530120.48,no
71,Adavaci Island,102,Fiji,-17.200052192319,-179.00711732794,1,1,0,0,1,0,0,0,0,0,0,0,0,Lau Province,70.85,7500000.0,no
72,Petit Trou Peninsula,50,Grenada,12.025008319683002,-61.659445166595,1,1,0,0,1,0,0,0,0,0,0,0,0,Saint David’s,1.77,7500000.0,no
73,Frenchman's Caye,200,Belize,17.572844202155,-88.07520285101299,1,1,0,0,0,0,0,0,0,0,0,0,0,Belize City,9.52,7500000.0,no
74,Parida Island,217,Panama,8.1294648092245,-82.332038738037,1,1,1,0,1,1,1,0,0,0,0,0,0,Pedregal,17.79,7500000.0,no
75,Aese Island,1690,Vanuatu,-15.4316954,167.2491365,1,1,0,0,1,0,0,0,0,0,0,0,0,Luganville,8.4,7500000.0,no
76,Sand Dollar Cay,24,Bahamas,25.570007589664996,-77.723293432861,0,1,1,0,1,0,0,0,0,0,0,0,0,San Andros,40.32,7200000.0,no
77,Motu Rauoro,18,France,-16.572897586134,-151.44357146067,0,1,0,0,1,0,0,0,0,0,0,0,0,Avarua,631.61,7137688.53,no
78,Sawyer's Cay,6,Bahamas,25.539214,-76.80510699999998,0,1,1,0,1,0,0,0,0,0,0,0,0,Spanish Wells,2.62,7050000.0,no
79,Bonefish Cay 135-acres,14,Bahamas,26.890357276101998,-77.451210363477,0,1,1,0,1,1,0,0,0,0,0,0,0,Cooper’s Town,3.93,7000000.0,no
80,40-acre Beachfront Property on Ambergris Caye,40,Belize,18.001592000000006,-87.94328370000002,1,1,0,1,1,0,0,0,0,0,0,0,0,San Pedro,6.1,6999500.0,no
