Island_Name,Acreage,Country,latitude,longitude,Large Acreage,Ocean Island,Income Potential,Mainland Power,Islands with Beaches,Turn Key,Airstrip or Fly-in,Income Producing,Lake Island,Seasonal,Historic,River Island,Mainland Lot,nearest_city,city_distance,price
Treasure Cove,75,Belize,17.492632614252994,-88.080477142334,0,1,0,0,0,0,0,0,0,0,0,0,0,Belize City,7.73,
Blunder Bay Estates,1,United Kingdom,18.4939059,-64.4022877,0,1,1,0,1,1,0,0,0,0,0,0,0,Saint Paul’s,127.49,
Waldron Island,50,United States of America,48.697965365638,-123.03004101444999,1,0,1,0,1,1,1,0,1,0,0,0,0,Friday Harbor,11.33,
Mounu Island Resort,7,Tonga,-18.7512793,-174.06794509999997,0,1,0,0,1,0,0,1,0,0,0,0,0,Neiafu,8.86,
Pelican Island,32,Antigua,17.105436938726,-61.70393617981,0,1,1,0,1,0,0,0,0,0,0,0,0,Piggotts,6.39,
The Ocean Flower,0,Maldives,4.3082232000000005,73.505305,0,0,1,0,0,0,0,0,0,0,0,0,0,Hulhumale,7.09,
Barefoot Cay Resort,8,Honduras,16.337773874129994,-86.47496419787,0,1,0,0,0,0,0,1,0,0,0,0,0,French Harbor,2.89,
Verde Island Resort,274,Philippines,13.551798000000002,121.07364,1,1,0,0,0,0,0,1,0,0,0,0,0,Ilihan,5.48,
Gopher Key Florida,10,United States of America,24.642636524140002,-81.48533277511599,0,1,0,0,0,0,0,0,0,0,0,0,0,Cudjoe Key,2.16,
Schloss Island,82,Canada,50.496782,-127.86204,1,1,1,0,0,0,0,0,0,0,0,0,0,Port McNeill,34.66,
Isla San Pedro,16000,Chile,-47.71666670000001,-74.91666670000002,1,1,1,0,0,1,0,0,0,0,0,0,0,Provincia Capitán Prat,66.22,
Isla Rancheria,310,Panama,8.26783,-82.42224499999998,1,1,0,0,1,0,1,0,0,0,0,0,0,Pedregal,6.83,
The World Islands - Dubai,0,United Arab Emirates,25.217832,55.168812,0,0,1,1,0,0,0,0,0,0,0,0,0,Dubai,13.1,
"Blackbook Listing
(2521)",0,SVG,13.010051400000002,-61.2306446,1,1,0,0,1,0,0,0,0,0,0,0,0,Kingstown,10.04,
"Blackbook Listing
(2106)",0,Turks and Caicos,21.85,-72.1166667,1,1,1,0,1,0,0,0,0,0,0,0,0,Saint-Louis du Nord,138.02,
Webber Island,50,Canada,44.9211591,-79.8398567,0,0,0,1,0,0,0,0,1,1,0,0,0,Midland,12.01,
Mowat Island,11,Canada,45.3676324,-80.1499853,0,0,0,0,0,1,0,0,1,1,1,0,0,Parry Sound,5.74,
Pulfords Island,2,Canada,49.713,-94.536,0,0,0,1,0,0,0,0,1,0,0,0,0,Kenora,4.29,
Barne's Island,4,Canada,45.034305678322,-76.827730248071,0,0,1,0,0,1,0,0,1,1,0,0,0,Perth,29.75,
Charlebois Island,36,Canada,45.078402271848,-80.068906635437,0,0,0,0,0,0,0,0,0,0,0,0,0,Parry Sound,18.65,
Villa Katsura,3,United Kingdom,18.489842764822,-64.41457799361,0,1,1,0,1,0,0,1,0,0,0,0,0,Saint Paul’s,127.98,
10 Kilometers Beachfront,2213,Belize,16.253724362073,-88.580941743896,1,1,0,0,1,0,0,0,0,0,0,0,0,Punta Gorda,18.59,
Lighthouse Cay,765,Bahamas,24.627201,-76.14726999999998,1,1,1,0,1,0,0,0,0,0,0,0,0,Arthur’s Town,29.88,
St Phillips Island,4680,United States of America,32.2843663,-80.6131635,1,0,0,0,0,0,0,0,0,0,0,1,0,Beaufort County,6.82,
Pakatoa Island,60,New Zealand,-36.7961147,175.1939382,1,1,0,0,1,0,0,1,0,0,0,0,0,Pakuranga,16.47,
Half Moon Cay,10,Honduras,16.441712015679,-85.848778597809,0,1,1,0,1,1,0,0,0,0,0,0,0,Savannah Bight,0.58,
"Blackbook Listing
(2520)",0,SVG,13.010051400000002,-61.2306446,1,1,0,0,0,0,0,0,0,0,0,0,0,Kingstown,10.04,
Whale Cay,575,Bahamas,25.410789571574,-77.78529086103501,1,1,1,0,1,1,1,1,0,0,0,0,0,San Andros,28.97,
Broad Key,63,United States of America,25.351074696991,-80.26041613359101,1,1,1,0,0,1,0,0,0,0,0,0,0,North Key Largo,7.0,
