Island_Name,Acreage,Country,latitude,longitude,Large Acreage,Ocean Island,Income Potential,Mainland Power,Islands with Beaches,Turn Key,Airstrip or Fly-in,Income Producing,Lake Island,Seasonal,Historic,River Island,Mainland Lot,nearest_city,city_distance,price
Standerson Island,27,United States of America,46.06613170000001,-83.77194909999999,1,0,0,0,0,0,0,0,1,0,0,0,0,Thessalon,16.07,
Narrows Island,6,United States of America,44.80515618292901,-67.35468900000001,0,0,0,0,0,0,0,0,1,0,0,0,0,East Machias,4.87,
Wedding Cake Island,1,Canada,44.652292665194,-76.298830074219,0,0,0,0,0,1,0,0,1,1,0,0,1,Perth,17.29,
Little Gaulding Cay,2,Bahamas,25.613744,-77.735395,0,1,1,0,0,0,0,0,0,0,0,0,0,San Andros,42.6,
Win Island,2,Canada,45.889911,-80.23655699999998,0,0,1,0,0,1,0,0,1,0,0,0,0,Parry Sound District,21.7,
Pink Pearl Island,1,Nicaragua,12.4373519,-83.4229208,0,1,0,0,1,0,0,0,0,0,0,0,0,Laguna de Perlas,17.98,
Skala's Palace,2,Canada,46.051568468517,-81.659350451562,0,0,0,0,0,0,0,0,0,0,0,0,0,Little Current,13.68,
Natural Inlet Island,2,Canada,45.990224403340996,-81.23095875476,0,0,0,0,0,0,0,0,0,0,0,0,0,Lively,30.86,
Bear Island,7,Canada,44.245926466187,-64.370451321426,0,1,0,0,0,0,0,0,0,0,0,0,1,Lunenburg,9.54,
Sarrat Island,2,Canada,48.6739124,-88.12120340000001,0,0,0,0,0,0,0,0,0,0,0,0,0,Thunder Bay,55.46,
Pearl Island,1,Canada,45.898007,-80.903902,0,0,1,0,0,1,0,0,1,1,0,0,0,Lively,38.82,
Stewards Island,54,United States of America,41.72903485420999,-79.32497686773699,1,0,0,0,0,0,0,0,0,0,0,1,0,Warren County,6.46,
Lake Nipissing Island C-905,1,Canada,46.301840815561,-79.838850719324,0,0,1,0,0,1,0,0,1,1,0,0,0,North Bay,17.81,
Rock Island,1,United States of America,41.631443062682,-72.302821775888,0,0,0,0,0,1,0,0,1,0,0,0,0,Hebron,3.74,
Hangover Island,40,United States of America,28.819601801300998,-82.684178015869,1,0,0,0,1,0,0,0,0,0,0,1,0,Homosassa,4.95,
Sweet Island,3,Canada,54.651677230444,-124.96982571423,0,0,1,0,0,0,0,0,1,0,0,0,0,Burns Lake,43.13,
Gautier Island,3,United States of America,30.376475934600002,-88.61482248161501,0,1,0,0,0,0,0,0,0,0,0,0,0,Gautier,0.67,
Tavern Island,4,United States of America,41.060858887019,-73.421734255295,0,1,1,0,0,1,0,0,0,0,0,0,0,Darien,2.77,
Spanish Lookout Caye,186,Belize,17.412715897467,-88.070159026367,1,1,0,0,1,0,0,1,0,0,0,0,0,Belize City,10.32,
Tikina-i-ra Island,10233,Fiji,-16.768883908763,178.48990280449,1,1,0,0,1,0,0,0,0,0,0,0,0,Bua Province,17.77,
Sear Island,28,Canada,49.14689425139201,-123.69157732853,1,1,1,1,0,1,0,0,0,0,0,0,0,Cedar,7.58,
Jupiter Island,642,Ecuador,0.432841,-80.05711,1,1,0,0,1,0,0,0,0,0,1,0,0,Muisne,12.61,
2620,1350,Greece,38.069309552599,19.0253207125,1,1,0,0,1,0,0,0,0,0,0,0,0,Lixoúri,77.26,
Tovu Island,180,Fiji,-17.346108087666,178.05884785448998,1,1,1,0,1,1,0,0,0,0,0,0,0,Ra Province,12.79,
Sindiro Island,220,Uganda,0.15922982410854,33.137118460852,1,0,0,0,0,0,0,0,1,0,0,0,0,Njeru,19.73,
Crawl Caye (Belize City),48,Belize,17.577936138183,-87.794451441528,1,1,0,0,0,0,0,0,0,0,0,0,0,San Pedro,25.94,
Little Bay Estate,7,United Kingdom,18.491555511761,-64.364994265857,0,1,1,0,1,1,0,0,0,0,0,0,0,Saint Paul’s,125.42,
26-Acre Island in Blue Ground Range,3,Belize,16.81485815408,-88.15099612653202,0,1,1,0,1,1,0,0,0,0,0,0,0,Dangriga,12.0,
Wadigi Island,0,Fiji,-17.717881368644,177.14799322578,0,1,0,0,0,1,0,0,0,0,0,0,0,Nadi,18.6,
The Balam Escape,9500,Belize,17.985908426168002,-88.198139639258,1,1,0,0,1,0,0,0,0,0,0,0,0,San Pedro,16.01,
42-Acre Private Island West of Placencia Village,42,Belize,16.515152844688,-88.37696588311199,1,1,0,0,0,0,0,0,0,0,0,0,0,Placencia,0.7,
Mauger Caye,7,Belize,17.607045928001,-87.77201230423,0,1,0,0,0,0,0,0,0,0,0,0,0,San Pedro,24.87,
Pair of Fiji Islands,25,Fiji,-17.1121121,177.2469064,1,1,0,0,1,0,0,0,0,0,0,0,0,Lautoka,37.37,
Gibraleon Island,227,Panama,8.5168638912591,-79.045165847022,1,1,0,0,1,0,0,0,0,0,0,0,0,Distrito de Balboa,4.64,
Wailagilala Island,113,Fiji,-16.74894797678,-179.10319795659,1,1,1,0,1,0,0,0,0,0,0,0,0,Cakaudrove Province,98.11,
"Pine Island, Vermont",23,United States of America,44.808682143475,-71.86852816499001,1,0,0,0,1,0,0,0,1,1,0,0,1,Essex County,8.57,
Denarau Peninsula,1,Australia,-17.763712796196,177.38533436014,0,1,1,0,1,1,0,0,0,0,0,0,0,Nadi,3.39,
Laguna Azul,2,Panama,9.1888035899812,-82.102900224762,0,1,0,0,0,1,0,1,0,0,0,0,0,Isla Bastimentos,7.96,
Jewel Caye,2,Belize,16.790789221728,-88.156483249436,0,1,1,0,1,1,0,0,0,0,0,0,1,Dangriga,13.36,
Reef Islands,237,Vanuatu,-13.621122871583,167.52765646465,1,1,0,0,1,0,0,0,0,0,0,0,0,Sola,17.69,
Elizabeth Island,65,Australia,-38.41622279999999,145.36897119999998,1,1,1,0,1,0,0,0,0,0,0,0,0,Bass Coast,7.0,
Crawl Caye (Placencia),55,Belize,16.599145201844,-88.215739103699,1,1,0,0,0,0,0,0,0,0,0,0,0,Placencia,11.58,
Thatch Cay,230,United States of America,18.358497375508,-64.85728765081801,1,1,0,0,1,0,0,0,0,0,0,0,0,Saint Paul’s,148.33,
Lenur Island,84,Vanuatu,-16.515245560472,167.59472462433,1,1,0,0,1,0,0,0,0,0,0,0,0,Norsup,33.73,
French Bay Property,130,United States of America,18.315466197777,-64.904952182092,1,1,1,0,1,0,0,0,0,0,0,0,0,Saint Paul’s,149.89,
Water Island Peninsula,2,United States of America,18.318584944342,-64.958119702299,0,1,1,0,0,1,0,0,0,0,0,0,0,Saint Paul’s,153.16,
Private Island Exuma,46,Bahamas,24.184307098204002,-76.44117357619601,1,1,1,0,1,1,0,0,0,0,0,0,0,Arthur’s Town,57.11,
Pebble Island,26247,Falkland Islands,-51.286789099609,-59.652042170312,1,1,1,0,1,0,1,1,0,0,1,0,0,Puerto Deseado,371.38,
Long Caye Private Island,40,Belize,16.489920017723,-88.214336030103,1,1,1,0,0,1,0,0,0,0,0,0,0,Placencia,10.22,
Funk Caye,3,Belize,16.550108117935,-88.08482046066902,0,1,0,0,1,0,0,0,0,0,0,0,0,Placencia,18.82,
