Island_Name,Acreage,Country,latitude,longitude,Large Acreage,Ocean Island,Income Potential,Mainland Power,Islands with Beaches,Turn Key,Airstrip or Fly-in,Income Producing,Lake Island,Seasonal,Historic,River Island,Mainland Lot,nearest_city,city_distance,price,Z_Price,$/Acre,Z_Value,P_Value,Z_Distance,P_Distance,Homicide Rate,CPI Score 2018,Standard error,Z_Homicide,P_Homicide,Z_CPI,P_CPI,Income_Potential
Rangyai Island,110,Thailand,7.954389999999999,98.44730600000001,1,1,1,0,1,0,0,0,0,0,0,0,0,Ban Ko Kaeo,3.69,160000000.0,13.331146385465141,1454545.4545454546,1.0786272274567028,0.8596230307061505,-0.2426995709177268,0.40411906993718877,5.0,64.0,2.08,-0.5675258608021263,0.28517848085640635,-1.6731413439696117,0.047149737085146554,1
Koh Jum Island Lodge,7,Thailand,7.8118868,98.9769851,0,0,0,0,0,0,0,0,0,0,0,0,0,Amphoe Ko Lanta,9.74,3600000.0,-0.10838667324838701,514285.71428571426,0.14398926836691145,0.5572455280355434,-0.1881472167705275,0.425380624171781,5.0,64.0,2.08,-0.5675258608021263,0.28517848085640635,-1.6731413439696117,0.047149737085146554,0
Pumpkin Key,26,United States of America,24.713197,-81.55425279999999,1,1,1,0,0,1,0,0,0,0,0,0,0,Cudjoe Key,4.54,95000000.0,7.745662697380876,3653846.153846154,3.264778382297518,0.9994522512333363,-0.23503519058299632,0.40709071000451186,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Captiva Key,13,United States of America,26.509387462845996,-82.184738017444,0,0,0,0,0,0,0,0,0,0,0,0,0,Saint James City,6.62,22000000.0,1.4727348630708517,1692307.6923076923,1.3149678928448987,0.9057396533497992,-0.2162800010580088,0.41438474850075147,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,0
Little Hawkins Island,3,United States of America,31.197381,-81.394983,0,0,1,1,0,1,0,0,0,0,1,1,0,Saint Simon Mills,1.98,17800000.0,1.1118266863023298,5933333.333333333,5.530636585073175,0.9999999840464627,-0.25811850076759635,0.39815772685542816,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Palm Island,4,United States of America,24.712448758751997,-81.10686047486901,0,1,1,0,1,1,0,0,0,0,0,0,0,Marathon,1.04,15500000.0,0.9141864942624249,3875000.0,3.4846099570887445,0.9997535725444616,-0.2665944037260042,0.3948907324610002,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Terra's Key,16,United States of America,24.892688685289997,-80.65894130423,0,1,1,1,1,1,0,0,0,0,0,0,0,Islamorada,2.93,15000000.0,0.8712212351233152,937500.0,0.5646731701878862,0.7138519567697225,-0.24955242862877994,0.40146674557307954,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
East Sister Rock,1,United States of America,24.687248045946003,-81.074581708598,0,1,1,0,0,1,0,0,0,0,0,0,0,Marathon,2.08,15000000.0,0.8712212351233152,15000000.0,14.543093958543059,1.0,-0.2572168089635104,0.39850570438449684,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Thompson Island,5,United States of America,24.564164771563,-81.74923418437801,0,1,1,0,0,1,0,0,0,0,0,0,0,Stock Island,0.71,10495000.0,0.4841042502799365,2099000.0,1.7192286009914086,0.957213622558269,-0.2695699866794878,0.393745546467848,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Tavernier Key,31,United States of America,24.997050346648003,-80.502186196729,1,1,0,0,0,0,0,0,0,0,0,0,0,Tavernier,1.28,10149000.0,0.4543722909556725,327387.0967741936,-0.041791888634893554,0.4833323006484789,-0.2644303433961979,0.39572416635989355,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,0
Belle Island & Cubbage Island,264,United States of America,31.76382999047,-81.22067805659199,1,0,0,0,0,0,0,0,0,0,1,1,0,Midway,12.67,10000000.0,0.44156864373221777,37878.78787878788,-0.3295692371479666,0.37086273511884826,-0.1617276469108095,0.43576016602853074,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,0
Trump Island,29,United States of America,48.5044389,-122.8386889,1,0,1,0,0,1,0,0,1,0,0,0,0,Friday Harbor,8.42,8750000.0,0.33415549588444343,301724.1379310345,-0.06730140951552774,0.47317087740193814,-0.20004954858446192,0.42072091504495734,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Sipson Island,25,United States of America,41.736553716213,-69.963220453967,1,1,1,0,1,1,0,0,0,0,1,0,1,Chatham,3.77,7985000.0,0.2684186494016055,319400.0,-0.049731230827746324,0.4801682843208807,-0.24197821747445805,0.40439852083718675,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Bird Island,51,United States of America,28.897588121452998,-81.851878186755,1,0,1,0,0,1,0,0,1,0,0,0,0,Fruitland Park,4.14,6700000.0,0.15799793341409343,131372.54901960783,-0.23663447204131055,0.4064701873890584,-0.23864195779934008,0.4056916136554617,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
1 Mandalay Island,3,United States of America,27.181327500000002,-80.1868135,0,1,1,0,1,1,0,0,0,0,0,0,0,Sewall's Point,1.57,3995000.0,-0.0744441185284903,1331666.6666666667,0.9564831276925971,0.8305858976958013,-0.2618154371643487,0.39673186848280567,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Little Goat Island,390,United States of America,32.789100063283,-79.798896457544,1,1,0,0,0,0,0,0,0,0,0,0,0,Isle of Palms,0.28,3500000.0,-0.11697972507620895,8974.358974358975,-0.358300847450061,0.3600590919887717,-0.27344726143705733,0.3922547135859943,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,0
AuTrain Island,106,United States of America,46.485628999999996,-86.896019,1,0,0,0,0,0,0,0,1,0,0,0,0,Munising,12.82,3450000.0,-0.12127625099011993,32547.169811320753,-0.3348689776514228,0.368861962299202,-0.16037510920468057,0.43629279789768644,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,0
Loud Island,30,United States of America,44.481756268327,-83.371748580395,1,0,1,0,0,1,0,0,1,0,1,0,1,Au Sable,5.27,3200000.0,-0.1427588805596748,106666.66666666667,-0.2611926387596757,0.3969719772816699,-0.22845284041316896,0.40964710730885656,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
The Carolina Cays,256,United States of America,35.87920326,-75.63056954,1,1,0,0,1,0,0,0,0,0,0,0,0,Wanchese,2.56,3200000.0,-0.1427588805596748,12500.0,-0.3547962861128096,0.3613711054349729,-0.25288868830389793,0.40017711542606915,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,0
Historic Popenhager Camp,21,United States of America,25.9867611,-81.0431176,1,0,1,0,0,1,0,0,1,0,1,1,0,Collier County,22.37,3150000.0,-0.14705540647358578,150000.0,-0.21811839396000346,0.41366843305757484,-0.0742635419144734,0.47040034311651174,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Big Gull Island,12,United States of America,56.99569585671699,-135.34265605239,0,1,1,0,0,1,0,0,0,0,0,0,0,Sitka,3.99,3000000.0,-0.1599449842153187,250000.0,-0.11871629057614447,0.45275006490451586,-0.239994495505469,0.4051672619371516,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Whiskey Island,3,United States of America,44.24727,-76.153,0,0,1,0,0,1,0,0,0,0,0,1,0,Clayton,3.37,2950000.0,-0.1642415101292297,983333.3333333334,0.6102324675721549,0.72914608742986,-0.2455849846908018,0.4030017569027123,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Sandpenny Island,3,United States of America,30.665104757767,-81.51038087990098,0,0,1,1,0,1,0,0,1,0,0,0,0,Fernandina Beach,2.86,2749000.0,-0.1815135443031518,916333.3333333334,0.5436330583049694,0.7066529968908084,-0.2501836128916401,0.4012226786959204,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Cedar Island,202,United States of America,35.007010496827995,-76.333437195922,0,1,0,0,1,0,0,0,0,0,0,0,0,Carteret County,14.99,2645000.0,-0.19045031820408662,13094.059405940594,-0.354205778567955,0.3615923366498435,-0.1408083970560157,0.44401065463573036,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,0
Crescent Island,4,United States of America,26.488359999999997,-82.08814220000002,0,1,1,0,1,1,0,1,0,0,0,0,0,Saint James City,0.88,2599000.0,-0.19440312204488472,649750.0,0.2786436177008319,0.6097408321135641,-0.2680371106125417,0.3943353766886919,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Island of South Walton,53,United States of America,30.378444640124002,-86.115082460327,1,1,0,0,0,0,0,0,0,0,0,0,0,Seaside,4.27,2500000.0,-0.20291024335442845,47169.811320754714,-0.32033376442076417,0.37435766513053537,-0.23746975845402837,0.40614618876729525,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,0
Dan May Island,72,United States of America,29.280719172381,-83.104952271164,1,0,1,0,0,1,0,0,0,0,0,1,0,Levy County,19.06,2500000.0,-0.20291024335442845,34722.22222222222,-0.3327069298052854,0.3696777590329645,-0.104109540629718,0.4585412098385045,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Hog Island,600,United States of America,34.997985883531,-76.27692149292,1,1,0,0,1,0,0,0,0,0,0,0,0,Carteret County,17.18,2500000.0,-0.20291024335442845,4166.666666666667,-0.3630797947281312,0.3582726388405697,-0.12106134654653364,0.4518212224622852,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,0
Sands Island,7,United States of America,30.418490000000002,-81.515264,0,0,1,0,0,1,0,0,0,0,0,1,0,Atlantic Beach,9.06,2300000.0,-0.22009634701007236,328571.4285714286,-0.040614637917398104,0.4838015572076161,-0.1942787210383119,0.4229788231729283,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Bircholm on Deer Island,50,United States of America,44.264732878337,-74.332858135999,1,0,0,0,0,1,0,0,1,0,0,0,1,Tupper Lake,7.08,2250000.0,-0.22439287292398333,45000.0,-0.32249060251305545,0.37354052795751963,-0.21213221875921345,0.416001942356825,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,0
Florida Keys Island,15,United States of America,24.749442855805,-80.971813227539,0,1,0,0,0,0,0,0,0,0,0,0,0,Marathon,7.84,2000000.0,-0.2458755024935382,133333.33333333334,-0.23468541119064662,0.4072264558602474,-0.20527936104816033,0.41867693409362206,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,0
Round Island Lighthouse,7,United States of America,46.109094466592,-84.021276478302,0,0,1,0,0,1,0,0,0,0,0,1,0,Thessalon,23.83,1995000.0,-0.2463051550849293,285000.0,-0.08392555439179382,0.46655781088290055,-0.06109884157481871,0.4756402458592191,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Big Strand Island,45,United States of America,48.06686273230601,-92.960222389502,1,0,1,0,0,0,0,0,1,0,0,0,0,Rainy River District,36.63,1900000.0,-0.2544685543213602,42222.22222222222,-0.3252517720514959,0.37249526420820755,0.05431770934818152,0.5216589798189759,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Black Island,17,United States of America,31.363210625673,-81.406552313153,1,1,1,0,0,1,0,0,0,0,0,0,0,Darien,1.69,1900000.0,-0.2544685543213602,111764.70588235294,-0.2561250805479496,0.3989271281326442,-0.2607334069994456,0.39714905090831504,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Veterans Key,29,United States of America,24.851059647826,-80.744480801189,1,1,0,0,0,0,0,0,0,0,0,0,0,Islamorada,8.89,1900000.0,-0.2544685543213602,65517.24137931035,-0.30209603302567745,0.3812894282224227,-0.19581159710525797,0.42237881630739804,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,0
Sturdivant Island,3,United States of America,43.74147,-70.181437,0,1,1,0,0,1,0,0,0,1,0,0,0,Falmouth Foreside,1.4,1750000.0,-0.26735813206309306,583333.3333333334,0.2126240540367189,0.5841898959910746,-0.2633483132312948,0.3961410624350403,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Paces Mill Island,45,United States of America,35.806885,-79.180849,1,0,0,0,0,0,0,0,0,0,0,1,0,Fearrington Village,5.08,1600000.0,-0.280247709804826,35555.555555555555,-0.3318785789437532,0.3699904730266137,-0.23016605484093225,0.4089813690378801,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,0
Harris Island,1,United States of America,57.03529399999999,-135.277586,0,1,1,0,0,1,0,0,0,0,0,0,0,Sitka,2.35,1600000.0,-0.280247709804826,1600000.0,1.2232121051059521,0.8893752026741298,-0.2547822410924784,0.39944564614053435,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Legacy Island,14,United States of America,26.743524100000005,-81.492707523804,0,0,1,0,0,1,0,0,0,0,1,1,0,LaBelle,3.58,1500000.0,-0.28884076163264794,107142.85714285714,-0.26071929541022876,0.39715449248440726,-0.2436914319022213,0.4037349048544613,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Jewfish Key,1,United States of America,27.442697244986,-82.679287457672,0,1,1,0,1,1,0,0,0,0,0,0,0,Cortez,1.88,1500000.0,-0.28884076163264794,1500000.0,1.123810001722093,0.8694531812326394,-0.2590201925716823,0.3978098303063811,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Deer Island,90,United States of America,29.235796999999998,-83.079014,1,1,0,0,1,0,0,0,0,0,0,0,0,Levy County,17.8,1499999.0,-0.28884084756316625,16666.655555555557,-0.350654542849827,0.3629237660872249,-0.11547085736120082,0.45403595919854933,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,0
Eagle Island,6,United States of America,47.893065494961995,-92.421407850601,0,0,1,0,0,1,0,0,1,0,0,0,0,Saint Louis County,21.03,1495000.0,-0.28927041422403904,249166.66666666666,-0.11954464143767664,0.45242193741674747,-0.08634621208922498,0.46559560184407917,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Watch Island,1,United States of America,44.250363142674,-76.153804305557,0,0,1,0,0,1,0,0,0,0,0,1,0,Clayton,3.45,1399000.0,-0.29751974397874814,1399000.0,1.0234138773043955,0.8469438996118641,-0.24486363124753308,0.4032810113030587,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
xAngel Islandx,11,United States of America,46.299860319006996,-86.7694623023,0,0,1,0,0,1,0,0,1,0,0,0,0,Munising,9.59,1350000.0,-0.3017303393743809,122727.27272727272,-0.24522805851923776,0.40313992599471266,-0.1894997544766564,0.4248505737549604,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Long Point Island,56,United States of America,36.399231177841,-75.95590125501799,1,1,0,0,1,0,0,0,0,0,0,0,0,Currituck County,2.45,1250000.0,-0.3103233912022028,22321.428571428572,-0.3450335795304663,0.3650345631320401,-0.25388054928839243,0.39979392099749433,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,0
Trophy Island,19,United States of America,59.469152568793,-154.58169651855,0,0,1,0,0,1,0,0,1,1,0,0,0,Anchor Point,98.41,1200000.0,-0.3146199171161138,63157.89473684211,-0.30444127321440734,0.3803958638097853,0.6113829059124746,0.7295269416704733,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Katinka Island,5,United States of America,46.208000300771,-89.78754569469,0,0,1,0,0,1,0,0,1,0,0,0,0,Vilas County,16.9,1195000.0,-0.3150495697075049,239000.0,-0.12965052194836896,0.44842146490526147,-0.12358608359797428,0.4508215058433247,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Jewfish Key Beachfront Lot,1,United States of America,27.443838324341,-82.680768176599,0,1,0,0,1,0,0,0,0,0,0,0,0,Cortez,1.78,1100000.0,-0.32321296894393575,1100000.0,0.726201588186657,0.7661424007494473,-0.25992188437576824,0.3974620150013009,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,0
Everglades Escape,80,United States of America,25.913041694776002,-80.818531846558,1,0,1,0,0,1,0,0,0,0,0,0,0,Monroe County,25.33,1100000.0,-0.32321296894393575,13750.0,-0.35355375982051135,0.36183666654001184,-0.047573464513529624,0.4810280901637165,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,1
Chatuge Island,4,United States of America,34.967576084666,-83.750873426056,0,0,0,1,0,0,0,0,1,0,0,0,0,Towns County,3.6,1000000.0,-0.3318060207717577,250000.0,-0.11871629057614447,0.45275006490451586,-0.24351109354140413,0.4038047461559431,6.5,29.0,3.25,-0.4440239925145586,0.328512618823393,-1.5996274094422234,0.05484063207546654,0
